,city,detailed_location,tipology,price,area,area_per_square_meter,bathrooms,apartament_state
7227,Porto,"Campanhã, Porto",T1,167 500 €,"53,72 m²",3 118 €/m²,Casas de Banho: 1,Novo
7228,Porto,"Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto",T2,145 000 €,74 m²,1 959 €/m²,Casas de Banho: 1,Usado
7229,Porto,"Canidelo, Vila Nova de Gaia, Porto",T2,195 000 €,81 m²,2 407 €/m²,Casas de Banho: 2,Usado
7230,Porto,"Mindelo, Vila do Conde, Porto",T2,169 900 €,75 m²,2 265 €/m²,Casas de Banho: 2,Renovado
7231,Porto,"Arcozelo, Vila Nova de Gaia, Porto",T2,185 000 €,108 m²,1 713 €/m²,Casas de Banho: 2,Usado
7232,Porto,"Canelas, Vila Nova de Gaia, Porto",T2,132 500 €,116 m²,1 142 €/m²,Casas de Banho: 2,Usado
7233,Lisboa,"Póvoa de Santa Iria e Forte da Casa, Vila Franca de Xira, Lisboa",T2,159 000 €,98 m²,1 622 €/m²,Casas de Banho: 1,Usado
7234,Porto,"Vila do Conde, Porto",T2,222 500 €,90 m²,2 472 €/m²,Casas de Banho: 2,Renovado
7235,Lisboa,"Cacém e São Marcos, Sintra, Lisboa",T1,93 000 €,54 m²,1 722 €/m²,Casas de Banho: 1,Renovado
7236,Porto,"Canelas, Vila Nova de Gaia, Porto",T2,132 500 €,116 m²,1 142 €/m²,Casas de Banho: 2,Usado
7237,Porto,"Madalena, Vila Nova de Gaia, Porto",T2,210 000 €,95 m²,2 211 €/m²,Casas de Banho: 2,Em construção
7238,Porto,"Madalena, Vila Nova de Gaia, Porto",T2,205 000 €,92 m²,2 228 €/m²,Casas de Banho: 2,Em construção
7239,Setúbal,"Azeitão (São Lourenço e São Simão), Setúbal",Vídeo,T3,150 000 €,125 m²,1 200 €/m²,Casas de Banho: 2
7240,Faro,"Guia, Albufeira, Faro",T1,157 400 €,58 m²,2 714 €/m²,Casas de Banho: 1,Usado
7241,Porto,"Arcozelo, Vila Nova de Gaia, Porto",T2,185 000 €,108 m²,1 713 €/m²,Casas de Banho: 2,Usado
7242,Santarém,"Benavente, Santarém",T2,125 000 €,108 m²,1 157 €/m²,Casas de Banho: 2,Usado
7243,Porto,"Canidelo, Vila Nova de Gaia, Porto",Vídeo,T2,195 000 €,81 m²,2 407 €/m²,Casas de Banho: 2
7244,Porto,"Arcozelo, Vila Nova de Gaia, Porto",T2,185 000 €,108 m²,1 713 €/m²,Casas de Banho: 2,Usado
7245,Porto,"Arcozelo, Vila Nova de Gaia, Porto",T2,185 000 €,108 m²,1 713 €/m²,Casas de Banho: 2,Usado
7246,Lisboa,"Cascais e Estoril, Cascais, Lisboa",T3,630 000 €,140 m²,4 500 €/m²,Casas de Banho: 2,Renovado
